DATE,POILWTIUSDM
2016-11-01,45.6231818181818
2016-12-01,52.0136363636364
2017-01-01,52.5595454545455
2017-02-01,53.4015
2017-03-01,49.5847826086957
2017-04-01,51.168
2017-05-01,48.5595652173913
2017-06-01,45.1677272727273
2017-07-01,46.6738095238095
2017-08-01,48.0317391304348
2017-09-01,49.7061904761905
2017-10-01,51.5645454545455
2017-11-01,56.7104545454546
2017-12-01,57.962380952381
2018-01-01,63.5569565217391
2018-02-01,62.15
2018-03-01,62.8613636363636
2018-04-01,66.3204761904762
2018-05-01,69.8926086956522
2018-06-01,67.5228571428571
2018-07-01,70.9913636363636
2018-08-01,67.9886956521739
2018-09-01,70.1855
2018-10-01,70.7513043478261
2018-11-01,56.5677272727273
2018-12-01,48.6352380952381
2019-01-01,51.3573913043478
2019-02-01,54.986
2019-03-01,58.1538095238095
2019-04-01,63.8759090909091
2019-05-01,60.7334782608696
2019-06-01,54.677
2019-07-01,57.5086956521739
2019-08-01,54.8390909090909
2019-09-01,56.8571428571429
2019-10-01,53.9791304347826
2019-11-01,57.1104761904762
2019-12-01,59.8577272727273
2020-01-01,57.7147826086957
2020-02-01,50.6015
2020-03-01,29.8772727272727
2020-04-01,16.8072727272727
2020-05-01,28.7947619047619
2020-06-01,38.3022727272727
2020-07-01,40.75
2020-08-01,42.3642857142857
2020-09-01,39.6095454545455
2020-10-01,39.5295454545455
2020-11-01,41.5161904761905
2020-12-01,47.0939130434783
2021-01-01,51.94
