DATE,PSAWOREUSDM
2015-07-01,301.445251458127
2015-08-01,307.297508055854
2015-09-01,303.887882273991
2015-10-01,307.684005169849
2015-11-01,315.11575069082
2015-12-01,295.202177185061
2016-01-01,314.548648476213
2016-02-01,327.40179331307
2016-03-01,315.284083052232
2016-04-01,322.894970290401
2016-05-01,332.294699274514
2016-06-01,330.677101841667
2016-07-01,320.881932486436
2016-08-01,322.230215635579
2016-09-01,334.217427803895
2016-10-01,330.665499743063
2016-11-01,327.34760900652
2016-12-01,323.316526526826
2017-01-01,318.822081043956
2017-02-01,312.384045039837
2017-03-01,294.229605818961
2017-04-01,316.335646879757
2017-05-01,317.532455988741
2017-06-01,329.87724026722
2017-07-01,328.821332170025
2017-08-01,321.098154289205
2017-09-01,312.61031837764
2017-10-01,325.166722584974
2017-11-01,334.572266083014
2017-12-01,327.303041533208
2018-01-01,344.717768359034
2018-02-01,337.228962236099
2018-03-01,336.610324851507
2018-04-01,331.207160543736
2018-05-01,348.301996468164
2018-06-01,356.301361663923
2018-07-01,353.217105263158
2018-08-01,337.499675729608
2018-09-01,342.362092844319
2018-10-01,336.68
2018-11-01,340.58
2018-12-01,370.14
2019-01-01,357.95
2019-02-01,342.58
2019-03-01,345.96
2019-04-01,334.98
2019-05-01,365.82
2019-06-01,353.71
2019-07-01,356.56
2019-08-01,368.3
2019-09-01,363.44
2019-10-01,348.5
2019-11-01,364.98
2019-12-01,343.62
2020-01-01,365.45
2020-02-01,337.65
2020-03-01,362.03
2020-04-01,357.99
2020-05-01,354.67
2020-06-01,350.55
2020-07-01,334.67
2020-08-01,337.67
2020-09-01,331.48
2020-10-01,350.88
2020-11-01,350.88
2020-12-01,350.88
2021-01-01,350.88
