DATE,PLOGOREUSDM
2006-07-01,200.136802246798
2006-08-01,187.791703064716
2006-09-01,212.652432989006
2006-10-01,198.941359620592
2006-11-01,189.859945820858
2006-12-01,193.006100523063
2007-01-01,192.921521323997
2007-02-01,182.000975974223
2007-03-01,166.064406937276
2007-04-01,176.521772909307
2007-05-01,190.515916182059
2007-06-01,160.098046981133
2007-07-01,167.747416285078
2007-08-01,161.627292848845
2007-09-01,177.890206241097
2007-10-01,161.328509202523
2007-11-01,170.570782860242
2007-12-01,155.016447157083
2008-01-01,157.374556127999
2008-02-01,171.477086219327
2008-03-01,158.725869592173
2008-04-01,164.624482853999
2008-05-01,165.082950772558
2008-06-01,172.811288866354
2008-07-01,162.239813557527
2008-08-01,167.035360328764
2008-09-01,178.273489211014
2008-10-01,189.408020595938
2008-11-01,196.818359179884
