DATE,PHIDEUSDM
2006-02-01,84.2631578947368
2006-03-01,85.5326086956522
2006-04-01,86.6894736842105
2006-05-01,88.0463636363636
2006-06-01,88.755
2006-07-01,88.322
2006-08-01,88.1213043478261
2006-09-01,89.1578947368421
2006-10-01,89.5238095238095
2006-11-01,90.35
2006-12-01,91.4375
2007-01-01,96.6714285714286
2007-02-01,99.1277777777778
2007-03-01,99.1785714285714
2007-04-01,99.2490476190476
2007-05-01,98.4640909090909
2007-06-01,94.6185714285714
2007-07-01,86.582380952381
2007-08-01,86.8039130434782
2007-09-01,86.7005555555556
2007-10-01,85.2065217391304
2007-11-01,86.2875
2007-12-01,86.9375
2008-01-01,84.2
2008-02-01,82.5
2008-03-01,84.5326315789474
2008-04-01,85.7768181818182
2008-05-01,86.0714285714286
2008-06-01,85.9523809523809
2008-07-01,86.8095238095238
2008-08-01,88.1555
2008-09-01,86.2261904761905
2008-10-01,87.4166666666667
2008-11-01,83.2368421052632
2008-12-01,54.7613636363636
2009-01-01,42
2009-02-01,46.6052631578947
2009-03-01,40.6309523809524
2009-04-01,36.7033333333333
2009-05-01,38.4625
2009-06-01,49.0357142857143
2009-07-01,53.8875
2009-08-01,73.375
2009-09-01,74.125
2009-10-01,65.9375
2009-11-01,74.002
2009-12-01,77.43
2010-01-01,83.5526315789474
2010-02-01,83.5
2010-03-01,85.2065217391304
2010-04-01,91.7142857142857
2010-05-01,93.5625
2010-06-01,93.4545454545455
2010-07-01,93.1190476190476
2010-08-01,91.4523809523809
2010-09-01,88.5375
2010-10-01,91.0523809523809
2010-11-01,90.9857142857143
2010-12-01,91.0681818181818
2011-01-01,81.1904761904762
2011-02-01,81.7368421052632
2011-03-01,85.4782608695652
2011-04-01,88.3571428571429
2011-05-01,84.3809523809524
2011-06-01,86.2613636363636
2011-07-01,85.6052631578947
2011-08-01,85.7717391304348
2011-09-01,82.2142857142857
2011-10-01,80.2142857142857
2011-11-01,74.6190476190476
2011-12-01,71.9761904761905
2012-01-01,70.2142857142857
2012-02-01,76.4761904761905
2012-03-01,82.9545454545455
2012-04-01,84.1309523809524
2012-05-01,86.0454545454545
2012-06-01,84.4761904761905
2012-07-01,84.2380952380952
2012-08-01,86.3478260869565
2012-09-01,82.8947368421053
2012-10-01,87.2826086956522
2012-11-01,87.5
2012-12-01,90.875
2013-01-01,91.4285714285714
2013-02-01,91.5
2013-03-01,94.8571428571429
2013-04-01,101.681818181818
2013-05-01,100.409090909091
2013-06-01,98.775
2013-07-01,99.3636363636364
2013-08-01,95.5681818181818
2013-09-01,92.7142857142857
2013-10-01,95.2826086956522
2013-11-01,104.05
2013-12-01,105.5
2014-01-01,105.619047619048
2014-02-01,107
2014-03-01,110.97619047619
2014-04-01,112.090909090909
2014-05-01,109.095238095238
2014-06-01,108.285714285714
2014-07-01,108.659090909091
2014-08-01,112.190476190476
2014-09-01,114.571428571429
2014-10-01,114.478260869565
2014-11-01,113.736842105263
2014-12-01,106.818181818182
2015-01-01,102.47619047619
2015-02-01,103.125
2015-03-01,103.545454545455
2015-04-01,99.5909090909091
2015-05-01,96.05
2015-06-01,94
2015-07-01,75.5795454545455
2015-08-01,72.2142857142857
2015-09-01,76.1904761904762
2015-10-01,74.5909090909091
2015-11-01,68.65
2015-12-01,71.6818181818182
2016-01-01,73
2016-02-01,72.2380952380952
2016-03-01,73.0795454545455
2016-04-01,73.1904761904762
2016-05-01,72.4404761904762
2016-06-01,74.7954545454545
2016-07-01,75.6
2016-08-01,73.4782608695652
2016-09-01,73.5357142857143
2016-10-01,74.6428571428571
2016-11-01,77.25
2016-12-01,75.6904761904762
2017-01-01,75.05
2017-02-01,76.575
2017-03-01,77.9347826086957
2017-04-01,75.425
2017-05-01,69.3636363636364
2017-06-01,67.5909090909091
2017-07-01,64.675
2017-08-01,62.1086956521739
2017-09-01,60.55
2017-10-01,60.2954545454545
2017-11-01,61.4761904761905
2017-12-01,63.65
2018-01-01,66.0476190476191
2018-02-01,66.3684210526316
2018-03-01,65.5
2018-04-01,63.8571428571429
2018-05-01,62.2840909090909
2018-06-01,59.5476190476191
2018-07-01,56.4047619047619
2018-08-01,55.6304347826087
2018-09-01,55.3055555555556
2018-10-01,54.5
2018-11-01,50.9047619047619
2018-12-01,44.6
2019-01-01,42.5454545454545
2019-02-01,42.5526315789474
2019-03-01,43.6904761904762
2019-04-01,44
2019-05-01,41
2019-06-01,34
2019-07-01,33.6477272727273
2019-08-01,35.6818181818182
2019-09-01,38.15
2019-10-01,39
2019-11-01,38.6842105263158
2019-12-01,37.9761904761905
2020-01-01,39.2142857142857
2020-02-01,40.1315789473684
2020-03-01,38.0454545454545
2020-04-01,31.2045454545455
2020-05-01,24.475
2020-06-01,24.5
2020-07-01,25
2020-08-01,26.7142857142857
2020-09-01,29.8181818181818
2020-10-01,34.4545454545455
2020-11-01,35.925
2020-12-01,41.2272727272727
2021-01-01,45
