DATE,PCOFFROBUSDM
2000-07-01,41.9557142857143
2000-08-01,38.94
2000-09-01,39.4695
2000-10-01,36.5472727272727
2000-11-01,33.338
2000-12-01,31.0747368421053
2001-01-01,32.9657142857143
2001-02-01,31.9685
2001-03-01,30.9609090909091
2001-04-01,28.62
2001-05-01,29.7127272727273
2001-06-01,29.322
2001-07-01,27.5876190476191
2001-08-01,25.8626086956522
2001-09-01,23.788
2001-10-01,21.2617391304348
2001-11-01,22.0336842105263
2001-12-01,23.758125
2002-01-01,22.8842857142857
2002-02-01,24.4621052631579
2002-03-01,29.773
2002-04-01,30.3527272727273
2002-05-01,29.4336363636364
2002-06-01,29.26
2002-07-01,29.3057142857143
2002-08-01,28.7431818181818
2002-09-01,33.3075
2002-10-01,34.444347826087
2002-11-01,39.3538888888889
2002-12-01,38.5223809523809
2003-01-01,42.7514285714286
2003-02-01,42.3538888888889
2003-03-01,38.3642857142857
2003-04-01,38.669
2003-05-01,38.8721052631579
2003-06-01,35.3257142857143
2003-07-01,36.6680952380952
2003-08-01,37.915
2003-09-01,38.7485
2003-10-01,37.3182608695652
2003-11-01,36.0494444444444
2003-12-01,37.5866666666667
2004-01-01,41.3163157894737
2004-02-01,39.0968421052632
2004-03-01,38.6745454545455
2004-04-01,38.0563157894737
2004-05-01,37.9305555555556
2004-06-01,41.0405
2004-07-01,36.7147368421053
2004-08-01,34.9252380952381
2004-09-01,35.0347368421053
2004-10-01,31.7542857142857
2004-11-01,34.021052631579
2004-12-01,38.976
2005-01-01,39.6336842105263
2005-02-01,44.613125
2005-03-01,50.6954545454546
2005-04-01,53.2763157894737
2005-05-01,58.5138095238095
2005-06-01,62.9165
2005-07-01,60.572
2005-08-01,55.6026086956522
2005-09-01,50.0714285714286
2005-10-01,50.837619047619
2005-11-01,54.7175
2005-12-01,58.785
2006-01-01,66.445
2006-02-01,65.4588888888889
