DATE,PCOFFOTMUSDM
2006-06-01,101.207272727273
2006-07-01,102.7715
2006-08-01,112.127826086957
2006-09-01,109.358
2006-10-01,110.912727272727
2006-11-01,123.5705
2006-12-01,129.95
2007-01-01,124.4645
2007-02-01,122.344736842105
2007-03-01,116.6145
2007-04-01,114.5895
2007-05-01,112.52
2007-06-01,118.6705
2007-07-01,116.800952380952
2007-08-01,123.627272727273
2007-09-01,128.035263157895
2007-10-01,134.57
2007-11-01,130.332105263158
2007-12-01,136.472307692308
2008-01-01,139.0535
2008-02-01,158.2095
2008-03-01,148.065
2008-04-01,137.735238095238
2008-05-01,139.737142857143
2008-06-01,144.079
2008-07-01,145.352727272727
2008-08-01,145.765789473684
2008-09-01,140.557272727273
2008-10-01,121.407272727273
2008-11-01,120.437058823529
2008-12-01,116.97125
